title,post_url,company_name,company_location,post_description
GIVENCHY | Stage Assistant(e) Global Merchandising Prêt-à-Porter (H/F),https://fr.linkedin.com/jobs/view/givenchy-stage-assistant-e-global-merchandising-pr%C3%AAt-%C3%A0-porter-h-f-at-givenchy-3747765859?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=xUx4IwnMy17rMqoyVFb9Lw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,GIVENCHY,Paris,"        PositionIntégré(e) au sein de la Business Unit RTW, vous serez en charge de missions diverses et assisterez l’équipe au quotidien sur les missions suivantes :Collection Merchandising Participation à l'élaboration des plans de collection et au suivi du développement des collectionsVeille concurrentielle : produits, prix, communication, distributionRéalisation d’analyses sell-in post showroomAide à la création des différents outils de vente showroom (book de vente, brief etc)Préparation des books matièresAide à la rédaction des descriptions produitsCoordination des divers shootings (e-commerce…)Retail Merchandising Support pendant les Showrooms :Support sur la sélection puis la présentation aux régions des assortiments produits du RetailRéalisation et coordination des outils d’achats à destination des Merchandisers régionauxSupport sur les analyses pré et post showroomRéalisation des analyses nécessaires au pilotage des achats et de la performance du réseau :Suivi, analyse et diffusion hebdomadaire et mensuelle des indicateurs de performance par région et par catégorie de produitRéalisation d’études ponctuelles variées (qualitatives et quantitatives)Support sur les lancements produits : Merchandising Calendar, Launch pack, Newsletters…Support feedback produits à destination des Collection Merchandisers :Consolidation des feedbacks produits régionaux de fin de saisonAnalyses produits ad hocAnalyses de la concurrenceProfileIssu(e) d'une formation type école de commerce / Master spécialisé Mode ou équivalent universitaire.Sensibilité produit et mode (PAP et Accessoires).Un premier stage similaire dans le luxe et la mode est apprécié.La maîtrise de l'anglais courant est indispensable.Une très bonne maîtrise des données chiffrées sur Excel (TCD, RechV…) et une maîtrise globale du pack office sont requises.Bon relationnel, fort esprit d'équipe, sens de l'organisation, flexibilité et dynamisme.Additional informationGIVENCHY recrute et reconnait tous les talents. Contract type: Internship      "
Assistant conseiller en investissements,https://fr.linkedin.com/jobs/view/assistant-conseiller-en-investissements-at-arcanis-conseil-3766569114?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=8zOh1t6AfPRJNpXbPPKudg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,ARCANIS Conseil,Ville de Paris,"        Qui sommes-nous ?♟️ ARCANIS Conseil est un cabinet de gestion de patrimoine basé sur un modèle start-up♻️ ARCANIS Conseil ne sélectionne que des investissements labellisés ISR - Investissement Socialement Responsable💡 ARCANIS Conseil s'adresse à des investisseurs désireux d'allier durabilité et performance⚙️ ARCANIS Conseil intervient auprès de sa clientèle avec simplicité et efficacité🌳 ARCANIS Conseil reverse 1% de son chiffre d'affaires à des associations dont la promesse est d’oeuvrer en faveur de la lutte contre le changement climatique et la défense de la biodiversitéDe la création à la transmission, en proposant un vaste panel de possibilités de gestion et d’investissement pour tous types de profils, nous accompagnons nos clients à chaque étape importante de la gestion de leur épargne.Devenez notre Stagiaire Conseiller(e) en Gestion de Patrimoine et intégrez le premier cabinet de gestion privée 100% dédié aux enjeux ESG, et ce en plein cœur de Paris, à proximité du Parc Monceau.Le stagiaire participe à toutes les étapes de la vie d’un consultant, idéalement pour continuer sur un poste de consultant junior à la suite de son stage.Il bénéficie d’une formation avec les associés au sein du cabinet.🐾 Les missions de l’assistant(e) en gestion de patrimoine s’articulent essentiellement autour de quatre grands points :Accompagnement des associés Prises et gestion des RDVPréparation des RDVSuivi administratif des dossiersParallèlement, et en fonction de ses appétences, le stagiaire pourra participer à différentes missions de développement au sein du cabinet, en marketing, communication, digital, etc.🌱 Vous êtes étudiant(e) en Bac +5 en école de commerce ou équivalent universitaire, avez un attrait pour les sujets environnementaux et sociaux et recherchez un stage de fin d’études pour une durée de 3 à 6 mois ?Nous recherchons des collaborateurs dynamiques, ambitieux et ayant des valeurs humaines solides, qui souhaitent se développer au sein d’un cabinet de gestion privée exigeant, à taille humaine et esprit start-up.Rémunération : Gratification réglementaire + 50% Pass Navigo + Bonus discrétionnaire      "
Stage - Assistant.es Retail Merchandising EME (F/H/X) - Janvier 2024,https://fr.linkedin.com/jobs/view/stage-assistant-es-retail-merchandising-eme-f-h-x-janvier-2024-at-celine-3748491340?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=4O%2Bl18swAznKHO10PqRUoQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,CELINE,Paris,"        PositionCELINE est une Maison de Couture et maroquinerie française en pleine expansion qui appartient au groupe LVMH et portée par un nouveau projet holistique et créatif mené par Hedi Slimane, son Directeur de la Création Artistique et de l’image. L’ambition de CELINE est de devenir l’une des marques de couture les plus emblématiques au monde. Pour faire de cette vision une réalité, nous recherchons des personnalités enthousiastes, agiles, passionnées et désireuses d’évoluer dans un environnement d’excellence.VOTRE ENVIRONNEMENT Intégré.es au sein du Département Retail Merchandising EME de la maison CELINE, nous recherchons plusieurs Assistant.es Retail Merchandising afin d’accompagner nos équipes sur les catégories suivantes : Leather Goods, Homme et Femme.VOTRE CONTRIBUTIONEn tant qu'Assistant.e Retail Merchandiser vous participerez aux missions suivantes :Suivi, analyses de vente et animation des catégories Réalisation d’analyses hebdomadaires, mensuelles et ad hoc sur la performance du business en Europe &amp; Moyen OrientRéallocation de stocks entre boutiques pour optimiser les ventes et le sell-throughContribution à des plans d’actions ciblés par boutiquePoint de contact quotidien et privilégié des boutiques du réseau retailRépondre quotidiennement aux demandes produitesPartage d’informations et outils hebdomadaires et ponctuelsAchats (stratégie et définition précise de l’offre) Préparation des analyses pré-showroom (profondeur, largeur, résultats historiques, best-sellers)Participation à la sélection de l’assortiment par boutique et à la définition des potentiels. Préparation des documents de restitution des achats aux équipes Centrales et aux boutiquesProfileLES CLEFS POUR REUSSIR Etudes : Etudiant.e en Bac+4/5 en Ecole de commerce ou formation universitaire équivalenteExpérience :Une première expérience en achats, merchandising ou marketing requise. Compétences et qualités personnelles Vous êtes reconnu.e pour votre sens de l’organisation et de la rigueurVous avez une grande aisance relationnelleVous avez une forte appétence pour les analyses chiffréesVous maîtrisez parfaitement ExcelLangues :Anglais courantAdditional informationLieu de travail : 75002Date de début potentielle : janvier 2024 – 6 mois à temps plein (convention de stage école obligatoire)NOTRE ENGAGEMENT Chez CELINE, nous souhaitons offrir un environnement de respect mutuel, dans lequel tous nos collaborateurs se sentent intégrés, accompagnés et écoutés.Nous nous engageons à prévenir toute forme de discrimination et à proposer à tous nos candidats des opportunités égales indépendamment de leur genre et expression de genre, handicap, origine, croyance religieuse et orientation sexuelle ou tout autre critère protégé par la loi.CELINE reconnaît et recrute tous les talents et singularités.Contract type: Stage      "
OPERATION MANAGER JUNIOR - Stage/Alternance,https://fr.linkedin.com/jobs/view/operation-manager-junior-stage-alternance-at-smoon-3766771410?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=TKh4FcusGkwBNE6063w5nA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Smoon,Ville de Paris,"        Lancée en février 2019, SMOON est une marque française de culottes de règles : une alternative performante, écologique et confortable aux protections traditionnelles. Grand gagnant de la Fabrique Aviva et Lauréat du Réseau Entreprendre Paris, SMOON a également fait partie des 4 start-ups sélectionnées pour intégrer le nouveau programme Brand Booster des Galeries Lafayette.  SMOON c'est plus de 350 000 culottes vendues dans 1 000 points de ventes à travers 7 pays. Nous sommes aujourd’hui à la recherche de talents pour compléter l’équipe et nous aider à propulser la marque to the (S)MOON !   DESCRIPTIF DU POSTE En étroite collaboration avec la responsable Opérations, tu seras en charge de toute la chaîne logistique tout en ayant à cœur d’améliorer et d’optimiser les processus en proposant de nouvelles idées et en les mettant en place.  MISSIONS PRINCIPALES Achats et Logistique Passer les commandes auprès des fournisseurs Annoncer les réceptions de marchandises et assurer le suivi auprès de notre prestataire logistique et de notre façonnier Être garant du stock de consommables, anticiper les commandes et alerter si besoin.  Forecast et Performance Mesurer et analyser nos KPIs clés : consommation des stocks, suivi des coûts ,… Participer à l’amélioration de nos process d'approvisionnement et à l'optimisation de nos coûts d’achats et logistiques. Construire et améliorer en continu nos outils de pilotage : tableaux de bord, indicateurs de performance…  Projets Mettre en place des outils et process pour faciliter le quotidien de l’équipe, gagner en efficacité. Réaliser une veille pour identifier de nouveaux partenaires (fournisseurs, façonniers, …) CE QUE L'ON CHERCHE De formation bac+4/5 en école de commerce ou d’ingénieur, tu as une première expérience en supply chain et tu recherches un stage de fin d'études ou une alternance. Tu aimes les chiffres, la data et les outils, et tu maîtrises Excel. Tu es rigoureux.se et proactif.ve, tu es en recherche permanente de nouvelle ou meilleure solution. Tu aimes travailler dans un environnement flexible, qui évolue vite, avec des objectifs ambitieux : on te promet de ne pas t’ennuyer ! Tu te reconnais dans ce profil ? Postule en remplissant le formulaire https://forms.gle/owoYuUbPd3M4LVkv5PROCESS DE RECRUTEMENTEntretien #1 avec Julie, Responsable des opérations (30 min)Cas pratique+ débrief téléphonique si besoinEntretien #2 avec Mathilde, Fondatrice (30 min)      "
Stage - Assistant(e) chef de projet R&D Data scientist - MHCS02019,https://fr.linkedin.com/jobs/view/stage-assistant-e-chef-de-projet-r-d-data-scientist-mhcs02019-at-mo%C3%ABt-hennessy-3767466635?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=oJz1m%2BkCSSeD%2BMuKFWgv5w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Moët Hennessy,Épernay,"        Inauguré en juin 2021, le centre de Recherche Robert-Jean de Vogüé a pour mission d’accueillir et de répondre aux différentes thématiques de recherche et innovation des Maisons Vins et spiritueux du groupe LVMH. Avec pour environnement le vignoble champenois, ce centre de recherche est structuré en quatre pôles d’expertise : La microbiologie et la biotechnologie pour analyser les micro-organismes et comprendre leur impact sur les vignobles,La physiologie des plantes, destinée à protéger le climat grâce à des expériences menées sur les vignes et le raisin pour répondre aux enjeux du changement climatique.L’ingénierie des processus pour optimiser les démarches de la production de vin et favoriser la recyclabilité.L’analyse sensorielle et la formulation à la fois pour étudier le profil sensoriel des produits à différentes étapes de la production et pour poursuivre la quête d’excellence des Maisons. Votre stage se déroulera au sein de cet écosystème dynamique et ouvert sur la recherche française et internationale, à l’interface entre recherche appliquée et applications de terrain. Il sera, pour vous, l’occasion de mettre en application les connaissances acquises durant votre formation et vous permettra de développer vos compétences en termes de structuration et de gestion de projet. Ce stage pourra donner lieu à un rapport de stage, directement en lien avec les attentes de votre école et sera ponctué par un entretien d’évaluation. MISSIONS :  Le projet dans lequel s’inscrivent vos missions a pour ambition de comprendre les mécanismes d’apparition et de croissance de certains micro-organismes à la vigne afin d’anticiper leur cinétique de développement.L’étude dont vous aurez la charge est en relation avec les différentes disciplines que sont la viticulture, la climatologie et la microbiologie (dont la microbiologie prévisionnelle). Vous interviendrez sur un projet mature pour lequel plusieurs années de données ont été collectées et attendent d’être valorisées. ACTIVITES : Sous la responsabilité du chef de projet R&amp;D, vous serez en charge de la collecte, de la mise en forme et du traitement des données.Vous aurez plus particulièrement les missions suivantes :Recherche bibliographique sur la meilleure expression des indicateurs, variables synthétiques et modèles adaptés aux données spatiales, temporelles, météorologiques et aux dynamiques de croissance microbienne,Audit des bases de données existantes, traitements de celles-ci, recommandations pour les années futures (collecte et traitements de routine),Modélisation des cinétiques de croissance microbienne en fonction des données climatiques, prévisionsUtilisation de bases de données publiques pour replacer l’étude dans un contexte plus large,Restitution sous la forme d’une synthèse PROFIL :De formation BAC+ 4/5 de type Ingénieur ou équivalent universitaire en agronomie – agroalimentaire – viticulture et une spécialisation en Mathématique appliqués – StatistiquesMaitrise des outils statistiques de la fouille de données à la modélisation (adaptée au modèle microbiologique)Maitrise la manipulation de base de données et la programmation avec les langages appropriésAutonome et pédagogue, capable d’appréhender un environnement scientifique pluri-disciplinaire et de venir compléter l’équipe projet par son expertise,Curieux, à l’écoute, vous êtes parti prenant des choix méthodologiques,Rigueur, réactivité, esprit de synthèse et capacité à reporter sur l’avancée de ses travauxBonnes compétences rédactionnelles indispensables (protocoles, rapports, synthèses…),Un intérêt certain pour l’œnologie et l’élaboration de boissons fermentéesPermis B indispensable Poste à pourvoir à partir de mars 2024 pour une durée de 6 mois.Ce stage est basé à Oiry au sein du centre de Recherche Robert-Jean de Vogüé.      "
Stage - Pricing & Power Market Analyst F/H,https://fr.linkedin.com/jobs/view/stage-pricing-power-market-analyst-f-h-at-groupe-qair-3742524658?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=G1iGTK9BARLv2bHeVt%2Bnyw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Groupe Qair,Ville de Paris,"        Qair est un producteur indépendant d’énergie renouvelable qui développe, finance, construit et exploite depuis plus de 30 ans des projets solaires, éoliens terrestres et en mer, hydroélectriques, hydroliens, de valorisation de déchets et de production et stockage d’hydrogène vert.Actif dans 20 pays à travers l’Europe, le Brésil et l’Afrique, l’ambition du groupe est de devenir un leader indépendant de l’énergie responsable.Avec plus d’1 GW de capacité en opération ou en construction, les 550 collaborateurs du groupe développent un pipeline global de 30 GW.L’expertise du groupe couvre l’ensemble de la chaine de production d’énergie, du développement à la vente en passant par le financement, la construction, l’exploitation et le démantèlement.S’appuyant sur une stratégie multi-locale, Qair conçoit et implémente des solutions adaptées à chaque territoire et propose des montages économiques et financiers sur mesure aux collectivités et aux industriels.Le poste est basé à Paris.MISSIONSDans le cadre des activités du Groupe (locales et internationales), vous assurez la mission de Pricing &amp; Power market Analyst, qui comprendra les éléments suivants :Apporter un soutien aux différentes équipes du groupe sur les marchés de l’énergie (Hydrogène, PPA, équipe M&amp;A, etc.).Développer des outils pour :Analyser les différents marchés de l’énergie dans lesquels Qair développe des projets renouvelables ;Modéliser les prix de l’électricité dans différents pays européens et analyser plusieurs sensibilités ;Évaluer les prix des PPA (Power Purchase Agreement) en fonction des structures contractuelles envisagées ;Piloter la vente de l’énergie et les risques associés (accès aux marché, cannibalisation, balancing).Suivre et préparer des rapports synthétiques sur les marchés de l’énergie, la structure des mécanismes de soutien aux EnR et des PPA conclus/négociés en Europe ;Participer à la construction d’une base de données de gestion de l’énergie (précision des besoins MOA, définition de l’architecture de la base de données, gestion des API, etc).PROFILIndépendant(e) et curieux(se), vous serez actif(ve) dans diverses missions avec une autonomie importante. Vos missions exigeront un état d’esprit rigoureux et organisé pour faire face à votre activité quotidienne, vous avez fait preuve d’esprit d’équipe et d’enthousiasme pour relever les défis de vos expériences professionnelles antérieures.Formation académique requise : Master 2 (Ecole de Commerce / Université / Ecole d’ingénieur) ;Expérience requise : Une solide connaissance du marché de l’énergie et des énergies renouvelables ;Compétences techniques : Maîtrise ou capacité à monter en compétence sur Python / SQL, capacités analytiques/ Vision business / Anglais (l’italien ou l’espagnol sera un plus), capacité à modéliser ;Aptitudes : Autonomie / Rigueur / Goût pour le travail en équipe / Esprit d’analyse et de synthèse / Curieux ;Le profil international est apprécié.AVANTAGE : Titres restaurant à 9,50 €TYPE DE COLLABORATION : Stage de 4 à 6 mois minimum avec possibilité d’alternance pour finir le cursus.LOCALISATION DU POSTE : ParisPOSTULEZ ICI : recrutement@qair.energyRéf : Stage – Pricing &amp; Power Market Analyst      "
Chargé de Marketing opérationnel et événementiel - Stage F/H,https://fr.linkedin.com/jobs/view/charg%C3%A9-de-marketing-op%C3%A9rationnel-et-%C3%A9v%C3%A9nementiel-stage-f-h-at-3ds-outscale-3748891415?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=HVJ9LqyPV88bXQ1NLicfhQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,3DS OUTSCALE,Saint-Cloud,"        OUTSCALE, marque de Dassault Systèmes, est un opérateur souverain et durable de l’Expérience en tant que Service qui offre à ses clients des environnements technologiques de confiance. Nous offrons des expériences uniques grâce au savoir-faire de nos équipes passionnées, qui se reflète notamment par la création de solutions de Business Expériences, le développement de notre propre orchestrateur Cloud, TINA OS, ou encore l’obtention de la qualification SecNumCloud.Notre mission ? Bâtir un monde numérique accessible et meilleur pour tous à travers la création du jumeau virtuel de l’organisation.Nous menons une politique RH engagée et inclusive favorisant le bien-être de nos collaborateur·rices : respect de l’équilibre vie privée/vie professionnelle, développement personnel et des compétences professionnelles, onboarding complet…Nous rejoindre, c’est partager une passion pour l’innovation, des valeurs communes et imaginer ensemble des solutions de confiance pour construire un monde meilleur et durable ! Nous recrutons un·e Chargé·e de Marketing opérationnel et événementiel pour un stage de 6 mois au sein de notre équipe Marketing.Vous rejoindrez une équipe jeune, dynamique et bienveillante de 3 personnes qui travaillent dans un environnement stimulant et collaboratif. C’est l’opportunité de développer vos compétences marketing et d’être responsable de missions diverses et variées, afin de faire rayonner nos solutions Cloud.  Vos missionsAccompagné·e de l’équipe, vous aurez pour missions de :Contribuer à la conception du plan de marketing avec votre Product Marketing ManagerMettre en oeuvre des campagnes digitales et des évènements marketingContribuer à l’organisation des évènements digitaux/physiquesCoordonner les prestataires, les fournisseurs et les intervenant.e.sAssurer le bon déroulement des événements (logistique, satisfaction de l’équipe commerciale et des participants, suivi du budget…)Définir les supports et outils print ou digitaux nécessaires au lancement des opérations et auprès des équipes commercialesMettre en oeuvre le développement et le maintien fonctionnel et opérationnel des campagnes et actions commercialesDévelopper et mettre en oeuvre les outils de statistiques et de reporting des actions de bout en bout, de façon à optimiser et à mesurer les performancesAnalyser les chiffres-clés des actions marketing menées et être force de proposition sur les améliorations possibles Stack techniqueProcessus de lead generationPlateformes de marketing automation et CRMPlateformes de campagnes de réseaux sociaux Votre profilVous êtes en formation Bac+5 avec une spécialisation en marketing et notamment opérationnelUne première expérience en stage ou alternance sur des missions similaires est un plusVous avez des compétences liées aux techniques de communication et de marketing opérationnel ainsi que de préparation de prospections commercialesVous avez des connaissances en inbound marketing, persona, web analytics, ABM…Vous faites preuve de rigueur, de créativité, de curiosité, une sensibilité aux KPI. Vous êtes force de proposition, proactif·ve avec un bon relationnel.Vous avez une appétences pour le secteur techUne maîtrise parfaite des outils bureautiques (suite Office) La Diversité d’OUTSCALE trouve aussi son expression dans notre politique de recrutement qui privilégie l’égalité des chances, la diversité des individus au sein de nos équipes.      "
Stage – Assistant.es Développement Ready to Wear (H/F) – Janvier 2024/Février 2024,https://fr.linkedin.com/jobs/view/stage-%E2%80%93-assistant-es-d%C3%A9veloppement-ready-to-wear-h-f-%E2%80%93-janvier-2024-f%C3%A9vrier-2024-at-celine-3661845280?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=50GnspTOXTRVfwwHbGCkmw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,CELINE,Paris,"        PositionCELINE est une Maison de Couture et maroquinerie française en pleine expansion qui appartient au groupe LVMH et portée par un nouveau projet holistique et créatif mené par Hedi Slimane, son Directeur de la Création Artistique et de l’image. L’ambition de CELINE est de devenir l’une des marques de couture les plus emblématiques au monde. Pour faire de cette vision une réalité, nous recherchons des personnalités enthousiastes, agiles, passionnées et désireuses d’évoluer dans un environnement d’excellence.VOTRE ENVIRONNEMENTNous recherchons plusieurs Assistant.es Développement pour les catégories suivantes : Jersey, Sportswear et Jersey &amp; Sportswear. Au sein du Département Développement Prêt-à-porter Jersey/Sportswear, vous découvrirez les différentes facettes du métier de développeur produit.VOTRE CONTRIBUTIONEn tant qu’Assistant.es Développement, vous prendrez part aux missions suivantes :Mise à jour des documents de collection (plan de collections, classeur de lancements, boards, fiches et portants matières)Update des infos de collection dans CLIPAide au suivi administratif (traitement des factures de collection, suivi des envois de collection, suivi des expéditions et des réceptions)Préparation des lancementsInteraction avec les départements (marketing, design, production, atelier)Missions transverses d’assistanat en général sur les taches de collectionProfileLES CLEFS POUR REUSSIREtudes : Etudiant.e en Bac +4/5 en Ecole de Commerce , de mode ou formation équivalente.Compétences et qualités personnelles : Vous êtes reconnu(e) pour votre sens de l'organisation et de la rigueurVous êtes une personne positive et volontaireVous maîtrisez le Pack Office (Excel, PowerPoint) Vous avez une bonne aisance relationnelle et de bonnes compétences de communication Langues :Anglais courantItalien un plusAdditional informationLieu de travail : 75002Date de début potentielle : janvier 2024 et février 2024 – 6 mois à temps plein (convention de stage école obligatoire)NOTRE ENGAGEMENT Chez CELINE, nous souhaitons offrir un environnement de respect mutuel, dans lequel tous nos collaborateurs se sentent intégrés, accompagnés et écoutés.Nous nous engageons à prévenir toute forme de discrimination et à proposer à tous nos candidats des opportunités égales indépendamment de leur genre et expression de genre, handicap, origine, croyance religieuse et orientation sexuelle ou tout autre critère protégé par la loi.CELINE reconnaît et recrute tous les talents et singularités.Contract type: Stage      "
Assistant Business Analyst Merchandising & Retail Performance - Stage / Alternance F/H,https://fr.linkedin.com/jobs/view/assistant-business-analyst-merchandising-retail-performance-stage-alternance-f-h-at-christian-dior-couture-3746287831?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=Cx%2FGi%2FL7QqckBV%2FYHZKIaA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Christian Dior Couture,Paris,"        PosteFrom the house of dream to the house of talents« Quoi que vous fassiez - pour le travail ou le plaisir - faites-le avec passion ! Vivez avec passion... »* Christian DiorChristian Dior fut le couturier du rêve. Dès la fondation de sa Maison en 1947, marquée par la révolution du New Look, il métamorphose ses songes en de merveilleuses créations. Son esprit visionnaire n’a eu de cesse de magnifier les femmes du monde entier, inspirant aujourd’hui et plus que jamais ses successeurs.Aujourd’hui, riche de cet héritage d’exception et d’une communauté de plus de 8 500 talents, notre Maison incarne plus que jamais la Maison des Talents pensé par Christian Dior. Dans plus de 40 pays, nous faisons rayonner notre savoir-faire, notre audace et notre excellence à travers la passion et la créativité de nos collaborateurs. Rejoignez-nous et créez votre avenir dans notre univers généreux, disruptif et ambitieux où nous grandissons dans l’excellence, le courage et l’optimisme.En tant qu’assistant(e) du Business Analyst-Merchandising vous supportez votre manager dans tous les suivis chiffrés : chiffres d’affaire, sessions d’achats, budget. Vous contribuerez aux reportings et liens avec la Supply.DescriptifAnalyse des ventesPrendre en charge des rapports hebdomadaires et contribuer à la réalisation de documents de synthèse :Réaliser et mettre à jour des suivis de vente par ligne de produit, région, et collection afin de suivre les nouveaux lancements.Produire des analyses ad hoc dans le cadre de projets et de plans d’actions 360° sur les catégories.Aider à la préparation des listes &amp; sélections soldes.Réaliser et mettre à jour les suivis de performance Suivi des couts de la divisionSuivi et analyse des frais pour clôtures mensuellesSupport aux area managersSoutien à la préparation des rendez-vous clients : réalisation et suivi de rapports en fonction des besoins (budgets, historiques des ventes, analyse de CA, etc.)Sessions D’achat / ShowroomsConsolidation des objectifs de chiffre d’affairesPréparation des fichiers de référencement des produitsPréparation d’analyses par catégorie de produit et analyses des produits Best SellersSuivi des annulations produit en lien avec les Business Units Produit et l’Administration des VentesParticiper à l’organisation et au bon déroulement des sessions d’achat en support des Merchandisers :Contribuer à la création des prévisions d’achats.Contribuer à la réalisation des présentations de stratégies d’achat.Aider à la préparation des rendez-vous showroom.Autres analysesConsolidation et analyse des sell-thru de nos meilleurs clientsSupport à la construction et présentation du budget annuelSupport à la communication des prixEtudes ad hoc à la demande des area managers et de la DirectionProduire des analyses ad hoc dans le cadre de projets et de plans d’actions 360° sur les catégoriesProfilSuivi de l’activitéSuivre les activités liées au pilotage de l’activité dans ses relations avec les autres départements.PROFIL RECHERCHÉEtudiant(e) niveau Bac+4/5Expérience en Business Analyse/Merchandising. Capacité d’analyse, profil analytiqueRigueur et sens du détailRéactivité, flexibilité, capacité à travailler sous contrainte de délais courtsCommunication positive, intelligence relationnelle, capacités d’adaptationSensibilité produit et connaissance du marché du luxe Maîtrise pack Office, Excel, Power Point, Anglais Ce que vous apprendrez au cours de ce stage / Alternance :Cette expérience vous permettra de développer à la fois votre sensibilité produit et vos compétences analytiques. Vous serez immergé dans la gestion quotidienne d’une catégorie de produit à travers ses enjeux et ses ambitions tant court-terme que long-terme.Encourageant la diversité sous toutes ses formes, Christian Dior Couture s'est engagé depuis 2013 dans une démarche en faveur de l'emploi des personnes en situation de handicap.      "
Chef de projets marketing événementiel | Stage | F/H,https://fr.linkedin.com/jobs/view/chef-de-projets-marketing-%C3%A9v%C3%A9nementiel-stage-f-h-at-idex-3761462666?refId=oU%2F9F6wDKZShoBKgvs1SgA%3D%3D&trackingId=6L7Y9TcuNVB8Xd%2BJEPkLfg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,IDEX,Boulogne-Billancourt,"        Premier groupe français indépendant de services à l’énergie et à l'environnement, nous sommes présents sur l’ensemble de la chaîne de valeur énergétique. Notre ambition, décarboner les territoires au travers nos activités :La production d’énergie (usines de valorisation énergétique des déchets, méthaniseurs, centrales biomasse, géothermie, solaire…)La distribution d’énergie (réseaux de chaleur et de froid) Les services énergétiques (maintenance ou travaux d'efficacité énergétique, gestion multi-technique de bâtiments…)En 2022, IDEX a réalisé un chiffre d'affaires de 2 milliards d’euros et accompagne plus de 12 000 clients de tous secteurs dans leur transition énergétique en proposant une énergie utile, locale et compétitive.Et si tu faisais en sorte que la planète reste vivable plus longtemps en faisant la promotion de l’énergie renouvelable photovoltaïque combinée à la mobilité électrique en entreprise ?Tu seras encadré directement par la Responsable marketing et en contact régulier avec le Directeur de la Business Unit, qui cumulent à eux deux, 26 années d’expérience dans le marketing d’entreprises de croissance.Ta mission sera axée sur le déploiement de notre stratégie marketing opérationnel et événementiel avec un unique objectif : générer du lead.Tes missions : Organisation des salons, des petits déjeuners clients, des webinaires… de A à ZPrésence lors des événements et première interface entre le client et IdexGestion et traitement des leads dans notre outil de CRMRecherche des potentiels salons, conférences et journées thématiques pour positionner Idex BBCOrganisation des interventions des spécialistes BBC lors des conférences (élaboration des supports, thème…)Ton profil : Appétence pour le secteur des énergies renouvelablesTu as compris que l’événementiel te permettait d’être au cœur de l’action à travers des missions variées alliant marketing et communicationEtudiant en stage de fin d’études ou année de césure d’école de commerce avec une grande sensibilité marketing et communicationExcellente communication verbale et écrite (rédactionnel)Capacité à travailler en équipe, autonome et désireux(se) d’apprendrePour finir, nous sommes persuadés que la diversité est une chance ! Nous nous engageons à créer des équipes inclusives et diversifiées ou chacun pourra s’épanouir. C’est pourquoi nous recherchons des personnes talentueuses et motivées de tous horizons.Si ces sujets vous passionnent, et que vous voulez découvrir nos projets, alors faites #LeBondChoixIdex et rejoignez les 5 700 collaborateurs de la #TeamIdex.Pour en savoir plus, rendez-vous sur notre site idex.fr ou abonnez-vous sur nos réseaux sociaux : Linkedin ou Instagram @idex_Groupe      "
